repo_name,time_stamp,pattern,reason_type,group_reason
Internet2/grouper,2018-02-06 14:12:34,javax.servlet:javax.servlet-api javax.servlet:jstl,2,project specific
Internet2/grouper,2018-02-06 14:12:34,javax.servlet.jsp:javax.servlet.jsp-api javax.servlet:servlet-api,1,project specific
Internet2/grouper,2018-02-06 14:12:34,javax.servlet.jsp:javax.servlet.jsp-api javax.servlet:servlet-api,2,project specific
dstl/baleen,2018-03-12 11:33:47,io.github.lukehutch:fast-classpath-scanner org.reflections:reflections,2,project specific
dstl/baleen,2018-03-12 11:33:47,io.github.lukehutch:fast-classpath-scanner org.reflections:reflections,5,target library
ImmobilienScout24/yum-repo-server,2014-08-21 22:17:48,org.springframework.boot:spring-boot org.apache.tomcat.embed:tomcat-embed,2,project specific
ImmobilienScout24/yum-repo-server,2014-08-21 22:17:48,org.springframework.boot:spring-boot org.apache.tomcat.embed:tomcat-embed,5,target library
immutables/immutables,2019-03-23 04:00:30,de.bwaldvogel:mongo-java-server com.github.fakemongo:fongo,2,project specific
immutables/immutables,2019-03-23 04:00:30,de.bwaldvogel:mongo-java-server com.github.fakemongo:fongo,6,source library
apache/incubator-brooklyn,2012-12-04 23:39:01,ch.qos.logback:logback org.slf4j:slf4j,3,target library
apache/incubator-brooklyn,2012-12-04 23:39:01,ch.qos.logback:logback org.slf4j:slf4j,4,target library
Discord4J/Discord4J,2015-12-28 02:42:44,com.google.code.gson:gson com.googlecode.json-simple:json-simple,4,target library
Discord4J/Discord4J,2015-12-28 02:42:44,com.google.code.gson:gson com.googlecode.json-simple:json-simple,6,source library
vsilaev/tascalate-javaflow,2019-02-05 11:49:06,org.slf4j:slf4j commons-logging:commons-logging,4,target library
vsilaev/tascalate-javaflow,2019-02-05 11:49:06,org.slf4j:slf4j commons-logging:commons-logging,6,source library
apache/camel,2019-06-25 03:33:58,ch.qos.logback:logback org.apache.logging.log4j:log4j,5,target library
apache/camel,2019-06-25 03:33:58,ch.qos.logback:logback org.apache.logging.log4j:log4j,16,target library
