repo_name,time_stamp,pattern,reason_type,group_reason
marl/l3embedding,2018-09-05 19:01:34,multiprocessing joblib,7,source library
martinp/pysnap,2016-02-03 01:07:45,cryptography pycryptodome,6,source library
materialsproject/pymatgen,2016-07-19 13:30:19,invoke fabric,2,project specific
materialsproject/pymatgen,2016-07-19 13:30:19,invoke fabric3,2,project specific
mathiasertl/django-ca,2019-09-14 10:31:09,six algoliasearch-django,6,source library
mathiasertl/django-ca,2019-09-14 10:31:09,six django,6,source library
mathics/Mathics,2020-09-12 01:56:22,pydot pydotplus,13,target library
mathics/Mathics,2020-09-12 01:56:22,pydot pydotplus,11,target library
mathics/Mathics,2020-09-12 01:56:22,pydot2 pydotplus,13,target library
mathics/Mathics,2020-09-12 01:56:22,pydot2 pydotplus,11,target library
matrix-org/synapse,2016-06-22 15:51:59,python3-ldap ldap,1,project specific
mcardillo55/cbpro-trader,2017-12-03 01:05:16,pyyaml config,4,target library
meanmedianmoge/zoia_lib,2020-07-29 19:38:52,pyqt5 pyside2,3,target library
meanmedianmoge/zoia_lib,2020-07-29 19:38:52,python-qt5 pyside2,2,project specific
mediadrop/mediadrop,2012-11-20 13:33:32,unittest py,11,target library
mediadrop/mediadrop,2012-11-20 13:33:32,unittest py.test,11,target library
mendix/m2ee-tools,2014-08-08 22:08:24,json pprint,4,target library
mesosphere/marathon-lb,2016-05-04 13:27:15,six urllib,2,project specific
metajack/notify-webhook,2020-05-29 18:23:31,json simplejson,1,project specific
metakgp/gyft,2018-10-09 21:44:46,sys os,2,project specific
mezz64/pyEight,2019-02-18 04:06:47,async-timeout async,2,project specific
mgckind/easyaccess,2016-04-27 22:39:15,requests urllib2,2,project specific
micahflee/semiphemeral,2019-05-13 00:28:02,tweepy python-twitter,3,target library
micahflee/semiphemeral,2019-05-13 00:28:02,tweepy twitter,3,target library
MicronOxford/microscope,2017-01-17 17:44:11,six future,2,project specific
microsoft/DistributedDeepLearning,2018-05-18 13:29:11,keras pandas,2,project specific
miguelgrinberg/Flask-SocketIO,2015-07-20 07:21:49,eventlet gevent,2,project specific
mike820324/microProxy,2016-06-02 07:24:29,pyopenssl ssl,3,target library
mikedewar/d3py,2012-01-22 14:35:39,ujson json,3,target library
Mirantis/mos-integration-tests,2016-03-17 15:16:59,tempest tempest-lib,6,source library
mirnylab/cooler,2017-01-15 00:12:53,multiprocess multiprocessing,2,project specific
miurahr/aqtinstall,2020-02-11 01:42:46,futures multiprocessing,3,target library
miurahr/py7zr,2021-04-30 04:46:41,pycryptodomex pycryptodome,2,project specific
mknx/smarthome,2013-08-05 19:10:26,httplib urllib2,10,source library
mollie/mollie-api-python,2015-04-15 22:02:22,platform os,2,project specific
monarch-initiative/dipper,2019-01-05 22:13:24,pyyaml json,6,source library
monocongo/climate_indices,2019-02-10 15:05:41,xarray netcdf4,2,project specific
morevnaproject-org/papagayo-ng,2018-08-13 15:11:31,sounddevice pyaudio,3,target library
mountainpenguin/pyrt,2012-05-09 22:10:59,tornado cherrypy,5,target library
mozilla/addons-server,2019-01-08 16:17:09,six urllib,2,project specific
mozilla/addons-server,2013-04-17 22:26:21,oauthlib oauth2,2,project specific
mozilla/addons-server,2013-04-17 22:26:21,oauthlib python-oauth2,2,project specific
mozilla/addons-server,2013-04-17 22:26:21,oauthlib requests-oauth2,2,project specific
mozilla/dxr,2013-06-13 21:59:45,futures multiprocessing,2,project specific
mozilla/OpenWPM,2016-11-14 22:19:35,multiprocess multiprocessing,4,target library
mozilla/treeherder,2015-08-05 10:58:22,requests urllib,7,source library
mozilla/treeherder,2015-08-05 10:58:22,requests urllib2,7,source library
mswart/acme-mgmtserver,2019-10-16 19:28:23,cryptography pyopenssl,1,project specific
Murodese/pynab,2013-11-01 07:28:03,regex re,3,target library
murthylab/sleap,2019-07-31 19:29:49,python-rapidjson ujson,7,source library
MyPaperPlane/Telegram-UserBot,2019-05-26 15:00:51,python-env config,2,project specific
namuan/http-rider,2019-07-29 21:36:00,jsonpath-rw-ext jsonpath-rw,3,target library
netsec-ethz/scion,2017-05-18 14:15:29,cryptography pycryptodome,1,project specific
netsec-ethz/scion,2015-11-17 11:30:18,pyyaml json,4,target library
NLeSC/scriptcwl,2017-02-14 10:53:56,ruamel pyyaml,2,project specific
Noctem/Monocle,2017-01-20 11:25:15,aiohttp requests,3,target library
nodepy/nodepy,2017-03-02 22:21:50,argparse click,7,source library
noise-lab/iot-inspector-client,2018-12-20 05:50:02,requests urllib,2,project specific
noise-lab/iot-inspector-client,2018-12-20 05:50:02,requests urllib2,2,project specific
nordnet/next-api-v2-examples,2020-04-24 19:30:47,cryptography pycryptodome,2,project specific
numenta/nupic.vision,2015-07-06 22:43:34,pyyaml json,2,project specific
obsidianforensics/hindsight,2017-02-21 04:16:29,pycryptodomex pycryptodome,6,source library
onecodex/onecodex,2020-08-07 03:18:36,sentry-sdk raven,6,source library
onitu/onitu,2013-11-04 20:25:12,watchdog pyinotify,2,project specific
oohlaf/dotsecrets,2019-07-04 21:42:52,ruamel pyyaml,13,target library
openai/pixel-cnn,2018-01-04 03:50:06,imageio scipy,6,source library
opencobra/memote,2020-03-24 17:14:40,math numpy,3,target library
opendatacube/odc-tools,2018-10-15 00:18:46,ruamel pyyaml,5,target library
openembedded/openembedded-core,2015-07-22 22:25:01,logging bb,2,project specific
openmotics/gateway,2019-11-12 16:17:17,ujson json,5,target library
OpenPrinting/system-config-printer,2014-12-10 13:51:29,requests pycurl,10,source library
openshift/openshift-tools,2016-12-01 22:26:09,ruamel pyyaml,4,target library
OpenShot/openshot-qt,2017-05-23 06:33:02,requests httplib2,7,source library
openstack/almanach,2016-10-13 15:28:09,oslo.log logging,8,project specific
openstack/barbican,2015-08-04 04:17:22,six urllib,2,project specific
openstack/blazar,2016-02-04 02:57:34,keystonemiddleware python-keystoneclient,6,source library
openstack/cinder,2016-12-07 16:12:00,json anyjson,1,project specific
openstack/cinder,2017-12-16 23:44:14,defusedxml lxml,10,source library
openstack/cloud-init,2012-10-22 02:37:00,requests urllib,1,project specific
openstack/cloud-init,2012-10-22 02:37:00,requests urllib3,1,project specific
